Collection title,Primary tag,Description,Collection type,Status
Water Saving,water-saving,"Products that reduce water waste around the home, garden and workplace.",Smart collection by tag,Created/planned
Water Filtration,water-filtration,"Filters, cartridges and water-quality products for cleaner everyday water.",Smart collection by tag,Created/planned
Irrigation,irrigation,"Garden, greenhouse and outdoor watering systems.",Smart collection by tag,Created/planned
Drip Irrigation,drip-irrigation,"Targeted low-waste watering kits, pipe and emitters.",Smart collection by tag,Created/planned
Rainwater Harvesting,rainwater-harvesting,"Products for collecting, storing and reusing rainwater.",Smart collection by tag,Created/planned
Leak Detection,leak-detection,"Alarms, sensors and monitors that help detect leaks early.",Smart collection by tag,Created/planned
Smart Water Devices,smart-water,"Connected timers, sensors and water monitors.",Smart collection by tag,Created/planned
Water Pumps,water-pumps,"Pumps for moving, boosting, draining and circulating water.",Smart collection by tag,Created/planned
Cleaning & Maintenance,cleaning-maintenance,Cleaning and care products for water systems and equipment.,Smart collection by tag,Created/planned
Water Testing,water-testing,Testing kits and meters for checking water quality.,Smart collection by tag,Created/planned
Plumbing Accessories,plumbing-accessories,"Small parts, fittings and repair accessories.",Smart collection by tag,Created/planned
Pool & Pond Equipment,pool-equipment,"Products for pools, ponds and water features.",Smart collection by tag,Created/planned
Commercial Water Solutions,commercial-water,"Products for businesses, trades and facilities teams.",Smart collection by tag,Created/planned
